title,price,size,Color,SKU,Category,short description,Description,path
Aether Gym Pant,£74.00,"32, 33, 34, 36","Blue, Brown, Green",MP11,Erin Recommends|Clothing,This is a variable product called a Aether Gym Pant ,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.
• Pants/shorts convertible.
• Lightweight moisture wicking. 
• Water repellent.
• Belted waist.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing
Aeon Capri,£48.00,"28, 29","Black, Blue, Orange",WP07,Performance Fabrics|Clothing,This is a variable product called a Aeon Capri,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.
• Black capris with teal accents.
• Thick, 3″ flattering waistband.
• Media pocket on inner waistband.
• Dry wick finish for ultimate comfort and dryness.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing
Adrienne Trek Jacket,£57.00,"XS, S, M, L, XL","Gray, Orange, Purple",WJ08,Erin Recommends|Clothing,This is a variable product called a Adrienne Trek Jacket,"You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.
• gray 1/4 zip pullover.
• Comfortable, relaxed fit.
• Front zip for venting.
• Spacious, kangaroo pockets.
• 27″ body length.
• 95% Organic Cotton / 5% Spandex.",Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing
Aero Daily Fitness Tee,£24.00,"XS, S, M, L, XL","Black, Brown, Yellow",MS01,Tees,This is a variable product called a Aero Daily Fitness Tee,"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.
Relaxed fit. 
Short-Sleeve. 
Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Abominable Hoodie,£69.00,"XS, S, M, L, XL","Blue, Green, Red",MH09,Hoodies & Sweatshirts,This is a variable product called a Abominable Hoodie,"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.
• Blue heather hoodie.
• Relaxed fit. 
• Moisture-wicking. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Sprite Stasis Ball 65 cm,£27.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG082-blue,Fitness Equipment,This is a simple product called Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Sprite Stasis Ball 65 cm,£27.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG082-pink,Fitness Equipment,This is a simple product called Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
Artemis Running Short,£45.00,"28, 29, 30, 31, 32","Black, Green, Orange",WSH04,Shorts,This is a variable product called a Artemis Running Short,"Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.
• Black rouched shorts with mint waist. 
• Soft, lightweight construction.
• LumaTech™ wicking technology.
• Semi-fitted.",Home/Clothing/Women/Bottoms/Shorts
Ariel Roll Sleeve Sweatshirt,£39.00,"XS, S, M, L, XL","Green, Purple, Red",WH09,Eco Friendly|Clothing,This is a variable product called a Ariel Roll Sleeve Sweatshirt,"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.
• Purple two-tone lightweight hoodie. 
• 100% cotton.
• Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.
• Casual, comfy piece for running errands or weekend activities.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing
Sprite Stasis Ball 65 cm,£27.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG082-gray,Fitness Equipment,This is a simple product called Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
